Table of categories with at least 1 items:
+-------------------------------------------+------------+
| category                                  |   n° items |
| ColecoVision                              |          4 |
| Connectors & Adapters                     |          4 |
| Distribution                              |          4 |
| Encyclopedias                             |          4 |
| Home & Garden Design                      |          4 |
| Input Devices                             |          4 |
| Instrument Instruction                    |          4 |
| Jigsaw Puzzles                            |          4 |
| Networking Products                       |          4 |
| Numeric Keypads                           |          4 |
| Operating Systems                         |          4 |
| Puzzles                                   |          4 |
| Scanners & Accessories                    |          4 |
| Sound Editing                             |          4 |
| Television & Video                        |          4 |
| Tools & Home Improvement                  |          4 |
| Training Equipment                        |          4 |
| Action Figures                            |          3 |
| Action Figures & Statues                  |          3 |
| Air Guns                                  |          3 |
| Airsoft, Air Guns & Slingshots            |          3 |
| Bag Gloves                                |          3 |
| Camera & Photo                            |          3 |
| Card Games                                |          3 |
| Children's Music                          |          3 |
| Component Amplifiers                      |          3 |
| Disney                                    |          3 |
| Drums & Percussion                        |          3 |
| HDMI Cables                               |          3 |
| Home Audio                                |          3 |
| Martial Arts                              |          3 |
| Mice                                      |          3 |
| Network Adapters                          |          3 |
| Other Sports                              |          3 |
| Pop                                       |          3 |
| Receivers & Amplifiers                    |          3 |
| Screen Savers                             |          3 |
| Selector Switch Boxes                     |          3 |
| Sports Equipment                          |          3 |
| Stereo Components                         |          3 |
| Team Sports                               |          3 |
| Television Stands & Entertainment Centers |          3 |
| USB Cables                                |          3 |
| USB Network Adapters                      |          3 |
| Web Design                                |          3 |
| World Music                               |          3 |
| Alternative Rock                          |          2 |
| Animation & 3D                            |          2 |
| Antivirus & Security                      |          2 |
| Arts                                      |          2 |
| Boating & Water Sports                    |          2 |
| Car & Vehicle Electronics                 |          2 |
| Cases                                     |          2 |
| Clip Art                                  |          2 |
| Composite Video                           |          2 |
| Computer Cable Adapters                   |          2 |
| DVD Viewing & Burning                     |          2 |
| Document Management                       |          2 |
| Equestrian Sports                         |          2 |
| Exercise Balls & Accessories              |          2 |
| Exercise Videos                           |          2 |
| Hand Tools                                |          2 |
| Horse Driving Equipment                   |          2 |
| Internet Security                         |          2 |
| Kitchen & Dining                          |          2 |
| Laptop & Netbook Computer Accessories     |          2 |
| Linux & Unix                              |          2 |
| MP3 Editing & Effects                     |          2 |
| Metal                                     |          2 |
| Music Creation & Sequencing               |          2 |
| Office Suites                             |          2 |
| PC Headsets                               |          2 |
| Personal Defense Equipment                |          2 |
| Plug & Play Video Games                   |          2 |
| Poker Layouts                             |          2 |
| Poker Sets                                |          2 |
| Power & Hand Tools                        |          2 |
| Power Cables                              |          2 |
| Professional Development                  |          2 |
| Rackets                                   |          2 |
| Sound Libraries                           |          2 |
| Soundtracks                               |          2 |
| Table Tennis                              |          2 |
| Tactical & Duty                           |          2 |
| Touch Screen Tablet Accessories           |          2 |
| Accounting & Finance                      |          1 |
| Adjustable Chairs                         |          1 |
| Ankle Weights                             |          1 |
| Archery                                   |          1 |
| Arts, Crafts & Sewing                     |          1 |
| Auto Accessories                          |          1 |
| Automotive                                |          1 |
| Backup                                    |          1 |
| Bar Code Scanners                         |          1 |
| Baseball                                  |          1 |
| Baseball Equipment                        |          1 |
| Baseball Gear                             |          1 |
| Basic Cases                               |          1 |
| Basketball                                |          1 |
| Basketball Equipment                      |          1 |
| Basketballs                               |          1 |
| Billiard Balls                            |          1 |
| Billiards & Pool                          |          1 |
| Blank Video Media                         |          1 |
| Blues                                     |          1 |
| Bluetooth Car Kits                        |          1 |
| Bluetooth Headsets                        |          1 |
| Boat Plumbing                             |          1 |
| Boating                                   |          1 |
| Bowls                                     |          1 |
| Building Sets                             |          1 |
| Building Toys                             |          1 |
| CD Burning & Labeling                     |          1 |
| Canned & Jarred Food                      |          1 |
| Canned, Dry & Packaged Foods              |          1 |
| Car Accessories                           |          1 |
| Car Chargers                              |          1 |
| Car Cradles & Mounts                      |          1 |
| Car Mounts                                |          1 |
| Case Fans                                 |          1 |
| Cases & Sleeves                           |          1 |
| Cereal Bowls                              |          1 |
| Chairs & Sofas                            |          1 |
| Christian                                 |          1 |
| Clothing                                  |          1 |
| Coffee Machines                           |          1 |
| Coffee Makers                             |          1 |
| Coffee, Tea & Espresso                    |          1 |
| CompactFlash Cards                        |          1 |
| Component Video                           |          1 |
| Compositing & Effects                     |          1 |
| Craft Supplies                            |          1 |
| DVD Games                                 |          1 |
| DVD Players & Recorders                   |          1 |
| Database                                  |          1 |
| Diets & Weight Loss                       |          1 |
| Digital Cameras                           |          1 |
| Dining & Entertaining                     |          1 |
| Docking Stations                          |          1 |
| Downloadable Content                      |          1 |
| Dress Up & Pretend Play                   |          1 |
| Drum Sets                                 |          1 |
| Drum Sets & Set Components                |          1 |
| Electronics & Gadgets                     |          1 |
| Fans & Cooling                            |          1 |
| Far East & Asia                           |          1 |
| Fishing                                   |          1 |
| Flashlights                               |          1 |
| Folk & World Hand Drums                   |          1 |
| Fonts                                     |          1 |
| Game Calls                                |          1 |
| Genealogy                                 |          1 |
| Golf                                      |          1 |
| Greeting Cards                            |          1 |
| Grocery & Gourmet Food                    |          1 |
| Handheld Flashlights                      |          1 |
| Health, Fitness & Dieting                 |          1 |
| Hiking & Camping                          |          1 |
| Hockey Equipment                          |          1 |
| Hockey Pucks                              |          1 |
| Home Office Desk Chairs                   |          1 |
| Home Office Furniture                     |          1 |
| Hubs                                      |          1 |
| Hunting                                   |          1 |
| I/O Port Cards                            |          1 |
| Ice Hockey                                |          1 |
| Instructional                             |          1 |
| Interior                                  |          1 |
| Japan                                     |          1 |
| Labels & Stickers                         |          1 |
| Labels, Indexes & Stamps                  |          1 |
| Learning & Education                      |          1 |
| Leathercraft                              |          1 |
| Legal                                     |          1 |
| Light Guns                                |          1 |
| Looping & Remixing                        |          1 |
| MIDI                                      |          1 |
| MP3 Player Accessories                    |          1 |
| MP3 Players & Accessories                 |          1 |
| Mac Operating Systems                     |          1 |
| Managerial & Executive Chairs             |          1 |
| Media Storage                             |          1 |
| Memory Sticks                             |          1 |
| Mobile Utilities                          |          1 |
| Money Management & Budgeting              |          1 |
| Movie Scores                              |          1 |
| Movie Soundtracks                         |          1 |
| New England                               |          1 |
| Northeast                                 |          1 |
| Office & School Supplies                  |          1 |
| Office Furniture & Lighting               |          1 |
| Other Diets                               |          1 |
| Other Office Equipment                    |          1 |
| PC Microphones                            |          1 |
| Paint, Body & Trim                        |          1 |
| Painting Supplies & Wall Treatments       |          1 |
| Personal Finance                          |          1 |
| Photography                               |          1 |
| Pipe Fittings                             |          1 |
| Pipes, Pipe Fittings & Accessories        |          1 |
| Point & Shoot Digital Cameras             |          1 |
| Points & Currency Cards                   |          1 |
| Poker Chips                               |          1 |
| Portable DVD Players                      |          1 |
| Power Adapters                            |          1 |
| Pretend Play                              |          1 |
| Printer Labels: Laser & Inkjet            |          1 |
| Printers                                  |          1 |
| Printers & Accessories                    |          1 |
| Production Stations                       |          1 |
| Programming Languages                     |          1 |
| Pucks                                     |          1 |
| R&B                                       |          1 |
| RF Modulators                             |          1 |
| Replacement Parts                         |          1 |
| Reports                                   |          1 |
| Rock                                      |          1 |
| Rod & Reel Storage                        |          1 |
| Rod Racks                                 |          1 |
| Rough Plumbing                            |          1 |
| SD & SDHC Cards                           |          1 |
| Serial Port Cards                         |          1 |
| Single Cards                              |          1 |
| Skins & Decals                            |          1 |
| Soul                                      |          1 |
| Soups, Stews & Chili                      |          1 |
| Steering System                           |          1 |
| Streaming Media Players                   |          1 |
| Strength Training Equipment               |          1 |
| Taps & Dies                               |          1 |
| Targets                                   |          1 |
| Telephones & Accessories                  |          1 |
| Towables                                  |          1 |
| Training                                  |          1 |
| Travel                                    |          1 |
| Travel Chargers                           |          1 |
| Tributes                                  |          1 |
| Trim                                      |          1 |
| Turkey                                    |          1 |
| VGA Cables                                |          1 |
| Vehicle Electronics Accessories           |          1 |
| Voice Recognition                         |          1 |
| Wall Stickers & Murals                    |          1 |
| Waterskiing & Towsports                   |          1 |
| Web Effects                               |          1 |
| Web Site Hosting                          |          1 |
| Wired Headsets                            |          1 |
| Word Processing                           |          1 |
| eBook Readers & Accessories               |          1 |
+-------------------------------------------+------------+
